"Principal_Component","Eigenvalue","Variance_Explained","Cumulative_Variance"
"PC1",1.81797816573995,0.095683061354734,0.095683061354734
"PC2",1.41500695760114,0.0744740504000597,0.170157111754794
"PC3",1.02519549940369,0.0539576578633518,0.224114769618145
"PC4",1.01038274894074,0.0531780394179338,0.277292809036079
"PC5",1.00765943057241,0.0530347068722322,0.330327515908311
"PC6",0.997480850316272,0.0524989921219089,0.38282650803022
"PC7",0.996661347486969,0.0524558603940509,0.435282368424271
"PC8",0.989076584301804,0.0520566623316738,0.487339030755945
"PC9",0.986321905584598,0.0519116792412945,0.539250709997239
"PC10",0.939210685565036,0.0494321413455281,0.588682851342768
"PC11",0.934198425200591,0.049168338168452,0.63785118951122
"PC12",0.917442244437369,0.0482864339177561,0.686137623428976
"PC13",0.915489923718913,0.0481836801957322,0.734321303624708
"PC14",0.907729484709464,0.0477752360373401,0.782096539662048
"PC15",0.900706253269739,0.0474055922773546,0.829502131939403
"PC16",0.81830156608449,0.043068503478131,0.872570635417534
"PC17",0.812432549410766,0.0427596078637244,0.915330243281258
"PC18",0.808934033420819,0.0425754754432009,0.957905718724459
"PC19",0.799791344235283,0.0420942812755411,1
